Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.48	42.55
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.47	40.66
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.47	42.31
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.46	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.46	37.61
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.46	40.66
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.46	41.04
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.46	42.12
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.45	42.68
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.45	43.12
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.45	40.99
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.45	41.42
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.45	39.74
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.45	40.88
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.45	42.10
