Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-29.02	39.32
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-28.96	40.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-28.88	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-28.83	39.30
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-28.70	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-28.67	36.59
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-28.66	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-28.66	39.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-28.64	38.93
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-28.61	37.08
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-28.60	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-28.58	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-28.55	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-28.55	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-28.47	37.67
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-28.33	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-28.30	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-28.27	38.74
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-28.23	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-28.19	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-28.16	39.31
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-28.13	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-28.10	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-28.07	39.20
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-28.02	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-28.00	21.79
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-28.00	42.25
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-27.98	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-27.87	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-27.85	36.42
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-27.84	40.57
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-27.82	36.40
