Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.52	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.50	45.21
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.48	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.44	34.14
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.37	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.37	40.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.35	40.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.34	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.34	35.78
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.34	36.22
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.34	36.49
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.30	33.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.27	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.25	45.54
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.20	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.13	30.92
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.07	27.31
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.03	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.03	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.00	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-10_41_51.avi	-28.90	35.30
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-28.89	32.69
