Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.30	37.03
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.30	39.81
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.30	41.75
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.28	35.49
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.27	37.71
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.27	23.01
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.25	36.94
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.25	42.05
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.25	41.57
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.25	42.67
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.20	36.70
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.13	43.97
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.10	34.54
